Tree Number ,Common Name ,Scientific Name,Family,Classification ,Fruit-bearing,DBH ,Height ,Longitude ,Latitude,Type of Risk ,Remarks 
B001,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,32.8,13.28,120°58′41.030″E,14°34′54.397″N,Low,"Slightly leaning, roots above pavement, Water sprout, visible roots"
B017,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,34,14.11,120°58′40.739″E,14°34′54.073″N,Low,"Water sprout, Callus"
B018,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,32,12.45,120°58′40.278″E,14°34′53.602″N,Moderate,"Entrance hole , Termites, Callus, tree repair"
B019,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,25,14.94,120°58′40.105″E,14°34′53.497″N,Moderate,"Entrance hole , Termites, brown rot, Callus, Water sprout"
B020,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,30.5,15.77,120°58′39.976″E,14°34′53.360″N,Low,Water sprout
B022,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,62,16.6,120°58′40.271″E,14°34′53.433″N,Moderate,"with parasite, Entrance hole , Hollow branch"
B023,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,31,14.94,120°58′40.440″E,14°34′53.547″N,Low,"Water sprout, broken pavement"
B029,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,22.6,14.11,120°58′41.293″E,14°34′53.234″N,Low,"Water sprout, Callus"
B032,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,73,18.26,120°58′40.786″E,14°34′53.692″N,Low,"Water sprout, Exudates, Callus, Cunkers"
B033,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,16,12.45,120°58′40.796″E,14°34′53.749″N,Low,"Slightly leaning, Water sprout"
B034,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,77,21.58,120°58′40.908″E,14°34′53.288″N,Low,"Water sprout, "
B039,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,29,15.77,120°58′40.875″E,14°34′51.456″N,Low,"Slightly leaning, Water sprout, excuvium"
B040,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,36.5,15.77,120°58′40.793″E,14°34′51.596″N,Low,Water sprout
B053,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,15,11.62,120°58′41.711″E,14°34′51.956″N,Low,"Callus, Water sprout"
B054,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,11.5,11.62,120°58′41.610″E,14°34′52.032″N,Low,"Slightly leaning, Water sprout"
B055,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,11.5,11.62,120°58′41.311″E,14°34′52.176″N,Low,Na 
B056,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,46,17.43,120°58′41.318″E,14°34′52.241″N,Low,"Water sprout, Entrance hole , "
B057,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,16,11.62,120°58′41.286″E,14°34′52.270″N,Low,"Slightly leaning, Water sprout"
B058,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,12.3,5.64,120°58′41.289″E,14°34′52.226″N,Low,"Callus, Entrance hole"
B060,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,15,10.77,120°58′41.448″E,14°34′51.895″N,Low,"Callus, Water sprout"
B061,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,47.1,17.43,120°58′41.621″E,14°34′51.827″N,Low,"Water sprout, Callus, excuvium"
B062,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,15,12.45,120°58′41.380″E,14°34′51.856″N,High,"Low fork, Water sprout, hollow trunk "
B063,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,11.6,11.62,120°58′41.311″E,14°34′51.978″N,Low,"Water sprout, Entrance hole "
B064,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,51,18.26,120°58′41.203″E,14°34′52.054″N,Low,"Low fork, Water sprout, Callus"
B065,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,12.2,11.62,120°58′41.196″E,14°34′52.072″N,Low,"Callus, Water sprout"
B066,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,11,10.77,120°58′41.034″E,14°34′52.248″N,Moderate,"Water sprout, Entrance hole , "
B067,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,32.5,17.43,120°58′41.127″E,14°34′52.187″N,Low,"Water sprout, excuvium, Callus"
B069,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,42.7,17.43,120°58′41.372″E,14°34′51.874″N,Low,"Slightly leaning, Water sprout"
B070,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,16.5,13.28,120°58′41.279″E,14°34′51.777″N,Low,Water sprout
B072,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,10.1,5.64,120°58′41.113″E,14°34′51.841″N,Low,"Callus, Water sprout"
B076,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,56,15.77,120°58′40.815″E,14°34′51.895″N,Low,Water sprout
B077,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,11.9,8.3,120°58′41.077″E,14°34′51.697″N,Low,"Water sprout, Entrance hole "
B078,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,25.5,13.28,120°58′40.940″E,14°34′51.528″N,Low,"low fork, Water sprout"
B079,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,56.7,20.75,120°58′40.976″E,14°34′51.488″N,Low,Water sprout
B083,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,49,16.6,120°58′41.643″E,14°34′50.606″N,High,"big Callus, Gallsparasitic plants, Callus, Galls, Water sprout, Callus, Callusnker, Fruiting bodies, tree replair"
B084,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,70.5,18.26,120°58′42.283″E,14°34′50.909″N,Low,"Callus, Water sprout"
B093,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,68.2,18.26,120°58′42.103″E,14°34′51.049″N,Low,"Low fork, Water sprout"
B102,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,34,13.28,120°58′41.815″E,14°34′50.646″N,Moderate,"Parasite, Callus, Entrance hole , Fall branches"
B115,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,38.3,13.28,120°58′41.589″E,14°34′53.638″N,Moderate,"Water sprout, Termites, Callus, Galls, Entrance hole , Water sprout"
B119,Narra,Pterocarpus indicus Willd,Fabaceae,Indigenous,x,24,13.28,120°58′41.218″E,14°34′53.209″N,High,"Callus, GallsWater sprout, Entrance hole , Fruiting bodies, rotting trunk 50%"
